BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Medium Delay,High Delay
4000,BPR,2473286262.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.14,1,Z001,Cash,64984900,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,1.79,9,0 to 10,0.3,0.57,0.14
4000,BPR,2473285817.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.14,1,Z001,Cash,64957049,17.12.2018,Dec,17-12-18,17-12-18,1221001,2019,0.0,0,No Delay,0.55,0.37,0.08
4000,BPR,2473286084.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.14,1,Z001,Cash,64970807,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.27,0.57,0.15
4000,BPR,2473286360.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.16,1,Z001,Cash,64991117,27.12.2018,Dec,27-12-18,27-12-18,1221001,2019,0.0,0,No Delay,0.49,0.43,0.07
4000,BPR,2473286540.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.16,1,Z001,Cash,63001151,30.12.2018,Dec,30-12-18,30-12-18,1221001,2019,1.29,7,0 to 10,0.31,0.58,0.11
4000,BPR,2473286407.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.16,1,Z001,Cash,64993979,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,0 to 10,0.46,0.47,0.07
4000,BPR,2473285833.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.17,1,Z001,Cash,64957311,17.12.2018,Dec,17-12-18,17-12-18,1221001,2019,0.0,0,No Delay,0.51,0.41,0.08
4000,BPR,2473286362.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.17,1,Z001,Cash,64991181,27.12.2018,Dec,27-12-18,27-12-18,1221001,2019,0.0,0,No Delay,0.51,0.41,0.08
4000,BPR,2473286547.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.17,1,Z001,Cash,63002061,30.12.2018,Dec,30-12-18,30-12-18,1221001,2019,1.29,7,0 to 10,0.3,0.58,0.11
4000,BPR,2473285940.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.17,1,Z001,Cash,64963330,19.12.2018,Dec,19-12-18,19-12-18,1221001,2019,0.0,0,No Delay,0.54,0.38,0.08
4000,BPR,2473286366.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.17,1,Z001,Cash,64991275,27.12.2018,Dec,27-12-18,27-12-18,1221001,2019,0.0,0,No Delay,0.51,0.41,0.08
4000,BPR,2473285832.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.17,1,Z001,Cash,64957301,17.12.2018,Dec,17-12-18,17-12-18,1221001,2019,0.0,0,No Delay,0.51,0.41,0.08
4000,BPR,2473286428.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.17,1,Z001,Cash,64994795,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,0 to 10,0.46,0.47,0.07
4000,BPR,2473286038.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.17,1,Z001,Cash,64967835,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.26,0.59,0.15
4000,BPR,2473285954.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,1,Z001,Cash,64964214,19.12.2018,Dec,19-12-18,19-12-18,1221001,2019,0.0,0,No Delay,0.56,0.36,0.08
4000,BPR,2473286151.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,1,Z001,Cash,64974741,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.3,0.56,0.15
4000,BPR,2473286152.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,1,Z001,Cash,64974769,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.3,0.56,0.15
4000,BPR,2473286406.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,1,Z001,Cash,64993826,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.47,0.46,0.07
4000,BPR,2473285949.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,1,Z001,Cash,64963945,19.12.2018,Dec,19-12-18,19-12-18,1221001,2019,0.0,0,No Delay,0.56,0.36,0.08
4000,BPR,2473286549.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,1,Z001,Cash,63002200,30.12.2018,Dec,30-12-18,30-12-18,1221001,2019,1.29,7,0 to 10,0.3,0.58,0.12
4000,BPR,2473286353.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,1,Z001,Cash,64990901,27.12.2018,Dec,27-12-18,27-12-18,1221001,2019,0.0,0,0 to 10,0.45,0.48,0.08
4000,BPR,2473286161.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,1,Z001,Cash,64975027,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.3,0.56,0.15
4000,BPR,2473285554.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,1,Z001,Cash,64935248,11.12.2018,Dec,11-12-18,11-12-18,1221001,2019,1.08,5,0 to 10,0.24,0.53,0.22
4000,BPR,2473285950.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,1,Z001,Cash,64964023,19.12.2018,Dec,19-12-18,19-12-18,1221001,2019,0.0,0,No Delay,0.56,0.36,0.08
4000,BPR,2473285819.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.19,1,Z001,Cash,64957065,17.12.2018,Dec,17-12-18,17-12-18,1221001,2019,0.0,0,No Delay,0.51,0.42,0.08
4000,BPR,2473286158.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.19,1,Z001,Cash,64974967,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.29,0.57,0.14
4000,BPR,2473286051.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64969806,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.27,0.59,0.14
4000,BPR,2473285636.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64941820,12.12.2018,Dec,12-12-18,12-12-18,1221001,2019,0.31,2,0 to 10,0.25,0.57,0.18
4000,BPR,2473285929.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64962826,19.12.2018,Dec,19-12-18,19-12-18,1221001,2019,0.0,0,No Delay,0.6,0.32,0.08
4000,BPR,2473286057.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64969926,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.27,0.59,0.14
4000,BPR,2473286258.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64984633,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,1.79,9,0 to 10,0.29,0.57,0.14
4000,BPR,2473286029.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64967406,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.27,0.59,0.14
4000,BPR,2473286364.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64991197,27.12.2018,Dec,27-12-18,27-12-18,1221001,2019,0.0,0,No Delay,0.61,0.31,0.08
4000,BPR,2473286365.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64991273,27.12.2018,Dec,27-12-18,27-12-18,1221001,2019,0.0,0,No Delay,0.61,0.31,0.08
4000,BPR,2473286257.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64984397,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,1.79,9,0 to 10,0.29,0.57,0.14
4000,BPR,2473286048.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64969207,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.27,0.59,0.14
4000,BPR,2473285643.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64942311,12.12.2018,Dec,12-12-18,12-12-18,1221001,2019,0.31,2,0 to 10,0.25,0.57,0.18
4000,BPR,2473286034.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,1,Z001,Cash,64967430,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.27,0.59,0.14
4000,BPR,2473285639.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64942132,12.12.2018,Dec,12-12-18,12-12-18,1221001,2019,0.31,2,0 to 10,0.25,0.57,0.18
4000,BPR,2473285641.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64942180,12.12.2018,Dec,12-12-18,12-12-18,1221001,2019,0.31,2,0 to 10,0.25,0.57,0.18
4000,BPR,2473286410.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64994145,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.5,0.42,0.07
4000,BPR,2473286033.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64967428,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.26,0.6,0.14
4000,BPR,2473286047.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64969204,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.26,0.6,0.14
4000,BPR,2473286433.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64995048,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.5,0.42,0.07
4000,BPR,2473286168.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64975385,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.28,0.58,0.14
4000,BPR,2473286045.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64969107,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.26,0.6,0.14
