BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Clearing,Pending_Amy,pending_cnt,Low Delay_on_NetDUE,Medium Delay_on_NetDUE,High Delay_on_NetDUE,Actual,Prediction_on_NetDue,Prediction_on_Pstng,Low Delay_on_Pstng,Low Medium Delay_on_Pstng,High Delay_on_Pstng,Payment
3000,BPR,2485213551,120961,SKM STEELS LTD,West,INDR,RV,0.04,2,ZZ28,Credit,64773226,29.10.2018,Oct,20181029,20181101,1221001,2019,20181103,6.47,50,1,0,0,2,0,1,0.34,0.59,0.07,Yes
3000,BPR,2485213968,120961,SKM STEELS LTD,West,INDR,RV,0.06,2,ZZ28,Credit,64794339,31.10.2018,Oct,20181031,20181103,1221001,2019,20181105,6.37,41,0.93,0.07,0,4,0,1,0.25,0.72,0.04,Yes
3000,BPR,2485213643,120961,SKM STEELS LTD,West,INDR,RV,0.12,1,ZZ28,Credit,64782769,30.10.2018,Oct,20181030,20181102,1221001,2019,20181103,5.6,41,0.92,0.08,0,2,0,1,0.02,0.98,0.01,Yes
2000,BPR,2442037588,120961,SKM STEELS LTD,West,INDR,RV,0.15,1,ZZ41,Credit,64754135,23.10.2018,Oct,20181023,20181102,1221001,2019,20181103,3.37,32,0.99,0.01,0,2,0,1,0.14,0.86,0,Yes
3000,BPR,2485213622,120961,SKM STEELS LTD,West,INDR,RV,0.15,1,ZZ28,Credit,64780593,30.10.2018,Oct,20181030,20181102,1221001,2019,20181103,5.6,41,0.92,0.08,0,2,0,1,0.01,0.99,0,Yes
2000,BPR,2412140182,120961,SKM STEELS LTD,West,INDR,RV,0.16,1,ZZ41,Credit,64754003,23.10.2018,Oct,20181023,20181102,1221001,2019,20181103,3.37,32,0.98,0.02,0,2,0,1,0.14,0.86,0,Yes
2000,BPR,2426110048,120961,SKM STEELS LTD,West,INDR,RV,0.12,2,ZZ41,Credit,64745940,22.10.2018,Oct,20181022,20181101,1221001,2019,20181103,3.78,34,0.82,0.18,0,2,0,1,0,1,0,Yes
9600,BPR,2483309483,120961,SKM STEELS LTD,West,INDR,RV,0.12,2,ZZ28,Credit,64791528,31.10.2018,Oct,20181031,20181103,1221001,2019,20181105,6.37,41,0.92,0.08,0,4,0,1,0.22,0.78,0,Yes
3000,BPR,2485213570,120961,SKM STEELS LTD,West,INDR,RV,0.13,2,ZZ28,Credit,64774637,29.10.2018,Oct,20181029,20181101,1221001,2019,20181103,6.47,50,1,0,0,2,0,1,0.01,0.99,0,Yes
3000,BPR,2485213991,120961,SKM STEELS LTD,West,INDR,RV,0.13,2,ZZ28,Credit,64794520,31.10.2018,Oct,20181031,20181103,1221001,2019,20181105,6.37,41,0.93,0.07,0,4,0,1,0.21,0.79,0,Yes
9600,BPR,2146118324,120961,SKM STEELS LTD,West,INDR,RV,0.14,2,ZZ32,Credit,64758262,25.10.2018,Oct,20181025,20181101,1221001,2019,20181103,3.89,36,0.96,0.04,0,2,0,1,0.2,0.8,0,Yes
3000,BPR,2485213552,120961,SKM STEELS LTD,West,INDR,RV,0.15,2,ZZ28,Credit,64773229,29.10.2018,Oct,20181029,20181101,1221001,2019,20181103,6.47,50,1,0,0,2,0,1,0,1,0,Yes
9600,BPR,2146118487,120961,SKM STEELS LTD,West,INDR,RV,0.15,2,ZZ32,Credit,64761936,25.10.2018,Oct,20181025,20181101,1221001,2019,20181103,3.89,36,0.96,0.04,0,2,0,1,0.21,0.79,0,Yes
9600,BPR,2146118486,120961,SKM STEELS LTD,West,INDR,RV,0.15,2,ZZ32,Credit,64761935,25.10.2018,Oct,20181025,20181101,1221001,2019,20181103,3.89,36,0.96,0.04,0,2,0,1,0.21,0.79,0,Yes
3000,BPR,2485213717,120961,SKM STEELS LTD,West,INDR,RV,0.15,2,ZZ28,Credit,64785812,31.10.2018,Oct,20181031,20181103,1221001,2019,20181105,6.37,41,0.93,0.07,0,4,0,1,0.2,0.8,0,Yes
9600,BPR,2146118431,120961,SKM STEELS LTD,West,INDR,RV,0.15,2,ZZ32,Credit,64759903,25.10.2018,Oct,20181025,20181101,1221001,2019,20181103,3.89,36,0.96,0.04,0,2,0,1,0.21,0.79,0,Yes
9600,BPR,2146118346,120961,SKM STEELS LTD,West,INDR,RV,0.15,2,ZZ32,Credit,64758697,25.10.2018,Oct,20181025,20181101,1221001,2019,20181103,3.89,36,0.96,0.04,0,2,0,1,0.21,0.79,0,Yes
9600,BPR,2146118350,120961,SKM STEELS LTD,West,INDR,RV,0.15,2,ZZ32,Credit,64758703,25.10.2018,Oct,20181025,20181101,1221001,2019,20181103,3.89,36,0.96,0.04,0,2,0,1,0.21,0.79,0,Yes
9600,BPR,2146118337,120961,SKM STEELS LTD,West,INDR,RV,0.15,2,ZZ32,Credit,64758503,25.10.2018,Oct,20181025,20181101,1221001,2019,20181103,3.89,36,0.96,0.04,0,2,0,1,0.21,0.79,0,Yes
9600,BPR,2146118409,120961,SKM STEELS LTD,West,INDR,RV,0.15,2,ZZ32,Credit,64759690,25.10.2018,Oct,20181025,20181101,1221001,2019,20181103,3.89,36,0.96,0.04,0,2,0,1,0.21,0.79,0,Yes
9600,BPR,2483309412,120961,SKM STEELS LTD,West,INDR,RV,0.14,3,ZZ28,Credit,64790649,31.10.2018,Oct,20181031,20181103,1221001,2019,20181106,6.37,41,0.92,0.08,0,5,0,1,0.22,0.78,0,Yes
9600,BPR,2483309627,120961,SKM STEELS LTD,West,INDR,RV,0.14,3,ZZ28,Credit,64793085,31.10.2018,Oct,20181031,20181103,1221001,2019,20181106,6.37,41,0.92,0.08,0,5,0,1,0.22,0.78,0,Yes
1000,BPR,2483309416,120961,SKM STEELS LTD,West,INDR,RV,0.14,3,ZZ28,Credit,64790729,31.10.2018,Oct,20181031,20181103,1221001,2019,20181106,6.37,41,0.93,0.07,0,5,0,1,0.21,0.79,0,Yes
1000,BPR,2483309408,120961,SKM STEELS LTD,West,INDR,RV,0.14,3,ZZ28,Credit,64789929,31.10.2018,Oct,20181031,20181103,1221001,2019,20181106,6.37,41,0.93,0.07,0,5,0,1,0.21,0.79,0,Yes
1000,BPR,2483309418,120961,SKM STEELS LTD,West,INDR,RV,0.14,3,ZZ28,Credit,64790754,31.10.2018,Oct,20181031,20181103,1221001,2019,20181106,6.37,41,0.93,0.07,0,5,0,1,0.21,0.79,0,Yes
9600,BPR,2483309280,120961,SKM STEELS LTD,West,INDR,RV,0.14,3,ZZ28,Credit,64787400,31.10.2018,Oct,20181031,20181103,1221001,2019,20181106,6.37,41,0.92,0.08,0,5,0,1,0.22,0.78,0,Yes
9600,BPR,2483309269,120961,SKM STEELS LTD,West,INDR,RV,0.14,3,ZZ28,Credit,64787287,31.10.2018,Oct,20181031,20181103,1221001,2019,20181106,6.37,41,0.92,0.08,0,5,0,1,0.22,0.78,0,Yes
9600,BPR,2483309278,120961,SKM STEELS LTD,West,INDR,RV,0.16,3,ZZ28,Credit,64787373,31.10.2018,Oct,20181031,20181103,1221001,2019,20181106,6.37,41,0.91,0.09,0,5,0,1,0.21,0.79,0,Yes
2000,BPR,2483309641,124762,SKM GALVA,West,BOMB,RV,0.09,11,ZZ28,Credit,64793546,31.10.2018,Oct,20181031,20181103,1221001,2019,20181114,0.94,6,1,0,0,13,0,1,0.21,0.79,0,Yes
2000,BPR,2483309644,124762,SKM GALVA,West,BOMB,RV,0.09,11,ZZ28,Credit,64793629,31.10.2018,Oct,20181031,20181103,1221001,2019,20181114,0.94,6,1,0,0,13,0,1,0.21,0.79,0,Yes
2000,BPR,2483309645,124762,SKM GALVA,West,BOMB,RV,0.1,11,ZZ28,Credit,64793649,31.10.2018,Oct,20181031,20181103,1221001,2019,20181114,0.94,6,1,0,0,13,0,1,0.21,0.79,0,Yes
2000,BPR,2483309642,124762,SKM GALVA,West,BOMB,RV,0.1,11,ZZ28,Credit,64793596,31.10.2018,Oct,20181031,20181103,1221001,2019,20181114,0.94,6,1,0,0,13,0,1,0.21,0.79,0,Yes
2000,BPR,2424230299,120296,MAHARASHTRA METAL INDUSTRIES P,West,BOMB,RV,0.24,11,ZZ19,Credit,64766242,27.10.2018,Oct,20181027,20181106,1221001,2019,20181117,1.17,5,0.21,0.31,0.47,16,2,1,0.04,0.64,0.32,
2000,BPR,2426110417,120612,SKM STEELS LIMITED(CRCADIVISIO,West,BOMB,RV,0.16,-3,ZZ19,Credit,64778408,30.10.2018,Oct,20181030,20181109,1221001,2019,20181106,9.58,67,0.98,0.02,0,5,0,1,0.12,0.87,0,
9600,BPR,2146119732,120612,SKM STEELS LIMITED(CRCADIVISIO,West,BOMB,RV,0.17,-2,ZZ40,Credit,64789448,31.10.2018,Oct,20181031,20181108,1221001,2019,20181106,7.51,53,0.99,0.01,0,5,0,1,0.44,0.56,0,
9600,BPR,2146119626,120612,SKM STEELS LIMITED(CRCADIVISIO,West,BOMB,RV,0.15,-2,ZZ40,Credit,64785597,31.10.2018,Oct,20181031,20181108,1221001,2019,20181106,7.51,53,1,0,0,5,0,1,0.41,0.59,0,
1000,BPR,2412141925,120612,SKM STEELS LIMITED(CRCADIVISIO,West,BOMB,RV,0.18,-1,ZZ41,Credit,64769993,27.10.2018,Oct,20181027,20181106,1221001,2019,20181105,5.56,40,0.84,0.16,0,4,0,1,0.05,0.95,0,
1000,BPR,2412141924,120612,SKM STEELS LIMITED(CRCADIVISIO,West,BOMB,RV,0.17,-1,ZZ41,Credit,64769992,27.10.2018,Oct,20181027,20181106,1221001,2019,20181105,5.56,40,0.84,0.16,0,4,0,1,0.05,0.95,0,
2000,BPR,2412142305,120612,SKM STEELS LIMITED(CRCADIVISIO,West,BOMB,RV,0.17,-1,ZZ19,Credit,64772693,28.10.2018,Oct,20181028,20181107,1221001,2019,20181106,8.29,60,0.99,0.01,0,5,0,1,0.12,0.88,0,
