BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,No Delay,0 to 10,>=10
1000,BPR,2431602015.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.11,0,Z001,Cash,64964529,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.77,0.21,0.02
1000,BPR,2431602033.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.1,0,Z001,Cash,64964596,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.73,0.24,0.03
1000,BPR,2431602053.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.09,0,Z001,Cash,64965307,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.77,0.19,0.04
1000,BPR,2431602092.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.08,0,Z001,Cash,64966347,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.83,0.15,0.03
1000,BPR,2432360580.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.07,0,Z001,Cash,64966753,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.91,0.08,0.01
1000,BPR,2432360582.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.08,0,Z001,Cash,64967108,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.9,0.09,0.01
9600,BPR,2432360591.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.12,0,Z001,Cash,64969010,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.76,0.17,0.07
1000,BPR,2431602244.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.11,0,Z001,Cash,64970170,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.77,0.2,0.03
1000,BPR,2432360643.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.13,0,Z001,Cash,64970629,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.85,0.12,0.03
1000,BPR,2432360642.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.13,0,Z001,Cash,64970624,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.85,0.12,0.03
1000,BPR,2432360662.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.1,0,Z001,Cash,64972904,22.12.2018,Dec,22-12-18,22-12-18,1221001,2019,0.0,0,No Delay,0.72,0.2,0.08
1000,BPR,2432360669.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.12,0,Z001,Cash,64973025,22.12.2018,Dec,22-12-18,22-12-18,1221001,2019,0.0,0,No Delay,0.74,0.21,0.05
