BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Low Medium Delay,High Delay
9600,BPR,2483314255,163486,Rohit & Co.,West,BOMB,RV,0.14,19,ZZ41,Credit,63009643,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.24,0.65,0.11
9600,BPR,2483314254,163486,Rohit & Co.,West,BOMB,RV,0.15,19,ZZ41,Credit,63009638,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.17,0.78,0.05
9600,BPR,2483314281,163486,Rohit & Co.,West,BOMB,RV,0.15,19,ZZ41,Credit,63009921,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.17,0.78,0.05
9600,BPR,2483314260,163486,Rohit & Co.,West,BOMB,RV,0.15,19,ZZ41,Credit,63009686,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.17,0.78,0.05
2000,BPR,2442038381,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.1,19,ZZ16,Credit,64997040,29.12.2018,Dec,29-12-18,02-01-19,1221001,2019,3.16,31,High Delay,0.33,0.01,0.66
2000,BPR,2412166610,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.1,19,ZZ19,Credit,63010972,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.49,4,High Delay,0.13,0.03,0.84
3000,BPR,2485216873,163486,Rohit & Co.,West,BOMB,RV,0.06,20,ZZ41,Credit,63004450,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,15.4,116,Low Delay,0.35,0.58,0.07
1000,BPR,2412162810,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.15,-1,ZZ09,Credit,64971349,21.12.2018,Dec,21-12-18,30-12-18,1221001,2019,2.64,20,No Delay,0.92,0.0,0.08
1000,BPR,2412162837,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.14,-1,ZZ09,Credit,64971377,21.12.2018,Dec,21-12-18,30-12-18,1221001,2019,2.64,20,No Delay,0.95,0.01,0.04
1000,BPR,2412162825,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.12,-1,ZZ09,Credit,64971364,21.12.2018,Dec,21-12-18,30-12-18,1221001,2019,2.64,20,No Delay,0.98,0.01,0.02
