,Pstng.Date,Account,Local.Crcy.Amt
1347,31-12-18,925879,0.16
1349,14-04-18,925879,0.1
1352,14-04-18,925879,0.12
1353,29-07-18,925879,0.12
1354,27-11-18,925879,0.12
1355,30-08-18,925879,0.12
1356,29-08-18,925879,0.12
1358,14-06-18,925879,0.13
1360,30-07-18,925879,0.13
1361,29-07-18,925879,0.13
1362,19-07-18,925879,0.13
1363,14-04-18,925879,0.13
1364,11-09-18,925879,0.13
1367,29-06-18,925879,0.13
1368,27-11-18,925879,0.13
1369,30-08-18,925879,0.13
1371,29-08-18,925879,0.13
1372,19-09-18,925879,0.13
1373,17-09-18,925879,0.14
1374,14-11-18,925879,0.14
1376,28-09-18,925879,0.14
1377,11-09-18,925879,0.14
1379,30-08-18,925879,0.14
1380,24-10-18,925879,0.14
1381,28-09-18,925879,0.14
1382,19-09-18,925879,0.14
1383,19-09-18,925879,0.14
1384,19-07-18,925879,0.14
1385,26-06-18,925879,0.14
1386,13-08-18,925879,0.14
1387,14-04-18,925879,0.14
1388,28-08-18,925879,0.14
1389,28-08-18,925879,0.14
1390,07-06-18,925879,0.14
1391,16-08-18,925879,0.14
1392,20-08-18,925879,0.14
1393,29-07-18,925879,0.14
1394,27-09-18,925879,0.14
1395,26-06-18,925879,0.14
1396,30-07-18,925879,0.14
1397,13-08-18,925879,0.14
1398,16-08-18,925879,0.14
1399,30-07-18,925879,0.14
1400,28-08-18,925879,0.14
1401,22-10-18,925879,0.14
1402,29-07-18,925879,0.14
1405,20-08-18,925879,0.14
1406,29-07-18,925879,0.14
1407,11-09-18,925879,0.14
1408,30-07-18,925879,0.15
1409,27-09-18,925879,0.15
1410,30-08-18,925879,0.15
1411,30-08-18,925879,0.15
1412,16-04-18,925879,0.15
1413,14-04-18,925879,0.15
1414,16-04-18,925879,0.15
1415,16-04-18,925879,0.15
1417,29-06-18,925879,0.16
1418,24-09-18,925879,0.16
1419,07-06-18,925879,0.16
1420,07-05-18,925879,0.16
1421,29-08-18,925879,0.16
1422,14-11-18,925879,0.16
1423,29-07-18,925879,0.16
1424,30-07-18,925879,0.16
1425,30-10-18,925879,0.16
1426,19-11-18,925879,0.16
1427,29-08-18,925879,0.16
1428,28-09-18,925879,0.16
1429,27-11-18,925879,0.16
1430,30-10-18,925879,0.16
1431,16-10-18,925879,0.16
1432,18-09-18,925879,0.16
1433,29-08-18,925879,0.16
1434,28-08-18,925879,0.16
1435,30-07-18,925879,0.16
1436,16-10-18,925879,0.16
1437,30-08-18,925879,0.16
1438,18-09-18,925879,0.16
1439,28-08-18,925879,0.16
1440,28-08-18,925879,0.16
1441,19-09-18,925879,0.17
1442,30-08-18,925879,0.17
1443,28-08-18,925879,0.17
1445,28-09-18,925879,0.17
1447,18-09-18,925879,0.17
1448,25-09-18,925879,0.17
1451,29-08-18,925879,0.17
1452,30-07-18,925879,0.17
1454,13-12-18,925879,0.17
1455,29-06-18,925879,0.17
1456,24-09-18,925879,0.17
1457,17-09-18,925879,0.17
1458,26-06-18,925879,0.17
1459,29-06-18,925879,0.17
1460,17-09-18,925879,0.17
1461,24-09-18,925879,0.17
1462,29-07-18,925879,0.17
1464,26-06-18,925879,0.17
1465,26-06-18,925879,0.17
1469,27-06-18,925879,0.17
1470,30-10-18,925879,0.17
1471,27-06-18,925879,0.17
1472,30-08-18,925879,0.17
1474,26-06-18,925879,0.17
1483,28-04-18,925879,0.12
1484,26-05-18,925879,0.12
1485,25-09-18,925879,0.12
1486,13-04-18,925879,0.13
1487,18-07-18,925879,0.13
1488,18-07-18,925879,0.13
1489,25-08-18,925879,0.13
1490,09-06-18,925879,0.13
1491,08-10-18,925879,0.13
1492,25-09-18,925879,0.13
1493,08-10-18,925879,0.14
1494,27-08-18,925879,0.14
1495,26-09-18,925879,0.14
1496,25-08-18,925879,0.14
1497,08-10-18,925879,0.14
1498,27-09-18,925879,0.14
1499,14-07-18,925879,0.14
1500,28-07-18,925879,0.14
1501,16-07-18,925879,0.14
1504,18-07-18,925879,0.14
1506,29-12-18,925879,0.14
1507,08-10-18,925879,0.14
1509,28-07-18,925879,0.14
1511,24-09-18,925879,0.1
1515,11-10-18,925879,0.15
1516,26-09-18,925879,0.15
1517,26-05-18,925879,0.15
1519,27-09-18,925879,0.15
1520,27-08-18,925879,0.15
1521,28-07-18,925879,0.15
1522,28-07-18,925879,0.15
1523,28-07-18,925879,0.15
1525,27-09-18,925879,0.16
1526,15-11-18,925879,0.16
1527,09-06-18,925879,0.16
1528,28-07-18,925879,0.16
1531,25-08-18,925879,0.16
1532,20-11-18,925879,0.16
1534,28-07-18,925879,0.16
1535,27-08-18,925879,0.17
1536,28-07-18,925879,0.17
1537,14-07-18,925879,0.17
1538,15-11-18,925879,0.17
1541,27-09-18,925879,0.17
1542,27-11-18,925879,0.17
1543,08-09-18,925879,0.17
1545,08-09-18,925879,0.17
1546,16-07-18,925879,0.17
1548,28-06-18,925879,0.17
1556,24-08-18,925879,0.13
1558,26-10-18,925879,0.13
1560,24-09-18,925879,0.13
1561,17-08-18,925879,0.14
1562,20-04-18,925879,0.14
1563,24-08-18,925879,0.14
1564,13-07-18,925879,0.14
1565,26-09-18,925879,0.14
1566,25-09-18,925879,0.14
1567,17-08-18,925879,0.14
1568,13-07-18,925879,0.15
1569,16-11-18,925879,0.12
1571,28-12-18,925879,0.16
1573,14-12-18,925879,0.16
1574,24-08-18,925879,0.16
1575,26-10-18,925879,0.16
1577,23-08-18,925879,0.12
1578,13-07-18,925879,0.17
1582,26-10-18,925879,0.17
1583,26-09-18,925879,0.17
1585,25-08-18,925879,0.13
1586,12-07-18,925879,0.14
1588,23-08-18,925879,0.14
1589,23-08-18,925879,0.14
1590,25-08-18,925879,0.14
1591,25-08-18,925879,0.14
1592,31-08-18,925879,0.14
1594,12-07-18,925879,0.14
1595,12-07-18,925879,0.14
1596,14-09-18,925879,0.15
1599,16-11-18,925879,0.16
1600,11-10-18,925879,0.13
1610,25-04-18,925879,0.15
1611,22-08-18,925879,0.15
1614,25-04-18,925879,0.16
1616,22-08-18,925879,0.16
1621,11-10-18,925879,0.17
1637,21-08-18,925879,0.16
1640,18-09-18,925879,0.16
1641,21-08-18,925879,0.17
1642,21-12-18,925879,0.16
1644,20-12-18,925879,0.14
1651,25-09-18,925366,0.05
1652,22-09-18,925366,0.03
1653,12-09-18,925366,0.05
1654,30-11-18,925366,0.12
1655,21-11-18,925366,0.06
1656,19-12-18,925366,0.15
1657,28-12-18,925366,0.14
1658,27-09-18,925115,0.08
1659,27-09-18,925115,0.1
1660,27-09-18,925115,0.15
1661,27-09-18,925115,0.09
1662,27-09-18,925115,0.1
1663,27-09-18,925115,0.07
1664,27-09-18,925115,0.09
1665,31-08-18,925115,0.1
1666,30-08-18,925115,0.07
1667,30-08-18,925115,0.1
1668,30-08-18,925115,0.1
1669,30-08-18,925115,0.07
1670,29-08-18,925115,0.1
1671,29-08-18,925115,0.1
1672,28-08-18,925115,0.03
1673,28-08-18,925115,0.17
1674,28-08-18,925115,0.09
1675,25-08-18,925115,0.04
1676,25-08-18,925115,0.03
1677,24-08-18,925115,0.05
1678,21-08-18,925115,0.14
1679,20-08-18,925115,0.07
1680,20-08-18,925115,0.11
1681,16-08-18,925115,0.1
1682,16-08-18,925115,0.1
1683,16-08-18,925115,0.1
1684,31-07-18,925115,0.11
1685,31-07-18,925115,0.12
1686,30-07-18,925115,0.0
1687,30-07-18,925115,0.09
1688,28-07-18,925115,0.19
1689,28-07-18,925115,0.03
1690,28-07-18,925115,0.12
1691,28-07-18,925115,0.1
1692,28-07-18,925115,0.0
1693,27-07-18,925115,0.13
1694,27-07-18,925115,0.18
1695,17-07-18,925115,0.01
1696,17-07-18,925115,0.04
1697,17-07-18,925115,0.06
1698,17-07-18,925115,0.02
1699,17-07-18,925115,0.06
1700,17-07-18,925115,0.07
1701,17-07-18,925115,0.04
1702,16-07-18,925115,0.06
1703,16-07-18,925115,0.09
1704,16-07-18,925115,0.03
1705,14-07-18,925115,0.12
1706,13-07-18,925115,0.07
1707,13-07-18,925115,0.04
1708,12-07-18,925115,0.07
1709,30-06-18,925115,0.01
1710,30-06-18,925115,0.02
1711,29-06-18,925115,0.09
1712,29-06-18,925115,0.1
1713,29-06-18,925115,0.14
1714,29-06-18,925115,0.0
1715,29-06-18,925115,0.01
1716,29-06-18,925115,0.1
1717,29-06-18,925115,0.05
