,Material No,Matl Group,MG 1,MG 2,MG 3,WidthXThk,PROFILE,COLOUR,LOCK MAKE,Design
4589,1295944,1,1,1,1,131,10,0,21,PLAINWOOD
4590,1295947,1,0,0,1,786,2,7,12,E32
4591,1295948,1,0,0,1,786,2,7,12,E01
4592,1295949,1,0,0,1,175,9,7,12,E05
4593,1295950,1,1,1,1,640,10,30,21,PLAINSTEEL
4594,1295951,1,0,0,1,118,0,1,12,E18
4595,1295952,1,0,0,1,317,0,8,13,PLAINWOOD
4596,1295953,1,0,0,1,317,0,20,13,PLAINSTEEL
4597,1295954,1,0,0,1,183,0,1,7,E32
4598,1295955,1,0,0,1,335,2,1,7,E01
4599,1295956,1,0,0,0,445,0,8,6,PLAINWOOD
4600,1295957,1,0,0,0,407,0,7,12,PLAINWOOD
4601,1295958,1,0,0,1,328,0,3,12,E01
4602,1295959,1,0,0,1,328,0,1,12,E01
4603,1295960,1,0,0,0,405,0,8,12,PLAINWOOD
4604,1295961,1,1,1,0,378,0,7,6,PLAINWOOD
4605,1295966,1,1,1,1,641,0,1,21,PLAINWOOD
4606,1295968,1,0,0,1,822,2,8,12,E01
4607,1295971,1,0,0,1,26,2,0,12,E32
4608,1295975,1,1,1,1,591,2,7,21,PLAINWOOD
4609,1295977,1,0,0,1,219,8,8,12,E01
4610,1295978,1,0,0,1,26,2,8,12,E01
4611,1295979,1,0,0,1,26,2,8,12,E01
4612,1295981,1,0,0,1,26,2,8,12,E01
4613,1295986,1,0,0,1,213,2,7,6,E32
4614,1295989,1,1,1,1,588,0,7,6,PLAINWOOD
4615,1295990,1,1,1,1,587,0,7,6,PLAINWOOD
4616,1295991,1,1,1,1,585,2,7,6,PLAINWOOD
4617,1296000,1,0,0,1,25,2,7,6,E18
4618,1296001,1,0,0,1,213,0,3,6,E18
4619,1296003,1,0,0,1,599,2,7,6,PLAINWOOD
4620,1296004,1,1,1,1,641,2,3,6,PLAINWOOD
4621,1296006,1,0,0,1,26,8,7,6,E01
4622,1296007,1,1,1,1,26,2,7,6,E32
4623,1296009,1,0,0,1,219,8,3,12,E02
4624,1296011,1,0,0,1,822,8,7,12,E02
4625,1296014,1,0,0,1,126,0,1,6,E01
4626,1296015,1,0,0,1,317,0,8,6,E01
4627,1296016,1,0,0,1,175,0,3,6,E08
4628,1296017,1,0,0,1,219,0,7,6,E02
4629,1296022,1,0,0,1,797,7,1,6,E01
4630,1296023,1,1,1,1,197,0,1,6,E01
4631,1296024,1,1,1,1,786,0,1,6,E01
4632,1296037,1,0,0,1,327,2,7,13,E32
4633,1296040,1,1,1,1,786,0,7,6,E05
4634,1297925,1,0,0,1,175,2,8,12,E01
4635,1297928,1,0,0,1,776,0,7,12,E18
4636,1297931,1,0,0,1,175,0,8,12,E01
4637,1297940,1,1,1,1,797,0,25,6,PLAINSTEEL
4638,1297941,1,1,1,0,406,0,25,6,PLAINSTEEL
4639,1297943,1,0,0,1,118,0,0,6,E05
4640,1297945,1,1,1,1,118,0,8,6,E32
4641,1297946,1,1,1,1,118,0,8,6,E32
4642,1297952,1,0,0,1,776,0,7,12,E02
4643,1297953,1,0,0,1,776,0,7,12,E02
4644,1297960,1,0,0,1,51,0,25,12,PLAINSTEEL
4645,1297961,1,0,0,1,45,0,30,6,PLAINSTEEL
4646,1297962,1,0,0,1,38,0,30,6,PLAINSTEEL
4647,1297963,1,0,0,1,37,0,30,6,PLAINSTEEL
4648,1297964,1,0,0,1,35,0,30,6,PLAINSTEEL
4649,1297965,1,0,0,1,657,0,30,6,PLAINSTEEL
4650,1297966,1,0,0,1,308,0,1,6,E02
4651,1297967,1,0,0,1,704,0,1,6,E02
4652,1297968,1,0,0,1,290,0,1,6,E02
4653,1297969,1,0,0,1,768,0,1,6,E02
4654,1297970,1,0,0,1,250,0,1,6,E02
4655,1297973,1,0,0,1,26,8,8,12,E18
4656,1297975,1,0,0,1,304,0,7,6,E32
4657,1297976,1,0,0,1,308,0,7,6,E32
4658,1297978,1,0,0,1,304,0,7,6,E32
4659,1297984,1,0,0,1,919,0,1,6,E05
4660,1297992,1,0,0,1,338,7,0,7,PLAINWOOD
4661,1297995,1,0,0,1,26,8,6,6,E01
4662,1297996,1,1,1,1,822,2,6,21,E18
4663,1297997,1,1,1,1,599,2,6,21,PLAINWOOD
4664,1297999,1,0,0,0,822,2,6,6,PLAINWOOD
4665,1298000,1,0,0,0,822,2,8,12,PLAINWOOD
4666,1298003,1,1,1,1,786,0,27,6,PLAINSTEEL
4667,1298004,1,1,1,1,776,10,1,21,PLAINWOOD
4668,1298005,1,1,1,1,776,10,0,21,PLAINWOOD
4669,1298007,1,1,1,1,776,10,7,21,PLAINWOOD
4670,1298008,1,0,0,1,185,0,0,7,PLAINWOOD
4671,1298020,1,0,0,1,124,7,7,6,E18
4672,1298023,1,0,0,1,623,0,25,7,PLAINSTEEL
4673,1298024,1,0,0,1,776,0,0,7,PLAINWOOD
4674,1298025,1,0,0,1,776,0,0,7,PLAINWOOD
4675,1298026,1,1,1,1,26,2,7,21,PLAINWOOD
4676,1298030,1,0,0,1,26,2,1,6,E32
4677,1298031,1,0,0,1,26,2,1,6,E32
4678,1298032,1,0,0,1,26,2,1,6,E32
4679,1298033,1,0,0,1,26,8,1,6,E32
